"data" "minima" "pd"
2017-02-10 0.43 "after"
2017-02-10 0.32 "night"
2017-02-11 0.6 "dawn"
2017-02-11 0.8 "morn"
2017-02-11 0.42 "after"
2017-02-11 0.33 "night"
2017-02-12 0.6 "dawn"
2017-02-12 0.84 "morn"
2017-02-12 0.37 "after"
2017-02-12 0.36 "night"
2017-02-13 0.65 "dawn"
2017-02-13 0.88 "morn"
2017-02-13 0.46 "after"
2017-02-13 0.38 "night"
2017-02-14 0.59 "dawn"
2017-02-14 0.82 "morn"
2017-02-14 0.42 "after"
2017-02-14 0.37 "night"
2017-02-15 0.52 "dawn"
2017-02-15 0.69 "morn"
2017-02-15 0.33 "after"
2017-02-15 0.29 "night"
2017-02-16 0.45 "dawn"
2017-02-16 0.64 "morn"
2017-02-16 0.33 "after"
2017-02-16 0.33 "night"
2017-02-17 0.55 "dawn"
2017-02-17 0.86 "morn"
2017-02-17 0.37 "after"
2017-02-17 0.34 "night"
2017-02-18 0.57 "dawn"
2017-02-18 0.79 "morn"
2017-02-18 0.36 "after"
2017-02-18 0.32 "night"
2017-02-19 0.58 "dawn"
2017-02-19 0.75 "morn"
2017-02-19 0.4 "after"
2017-02-19 0.36 "night"
2017-02-20 0.6 "dawn"
2017-02-20 0.89 "morn"
2017-02-20 0.3 "after"
2017-02-20 0.33 "night"
2017-02-21 0.64 "dawn"
2017-02-21 0.8 "morn"
2017-02-21 0.45 "after"
2017-02-21 0.38 "night"
2017-02-22 0.62 "dawn"
2017-02-22 0.79 "morn"
2017-02-22 0.44 "after"
2017-02-22 0.39 "night"
2017-02-23 0.62 "dawn"
2017-02-23 0.82 "morn"
2017-02-23 0.41 "after"
2017-02-23 0.36 "night"
2017-02-24 0.59 "dawn"
2017-02-24 0.73 "morn"
2017-02-24 0.35 "after"
2017-02-24 0.32 "night"
2017-02-25 0.55 "dawn"
2017-02-25 0.71 "morn"
2017-02-25 0.37 "after"
2017-02-25 0.35 "night"
2017-02-26 0.58 "dawn"
2017-02-26 0.69 "morn"
2017-02-26 0.4 "after"
2017-02-26 0.38 "night"
2017-02-27 0.53 "dawn"
2017-02-27 0.71 "morn"
2017-02-27 0.39 "after"
2017-02-27 0.38 "night"
2017-02-28 0.5 "dawn"
2017-02-28 0.65 "morn"
2017-02-28 0.38 "after"
2017-02-28 0.38 "night"
2017-03-01 0.63 "dawn"
2017-03-01 0.76 "morn"
2017-03-01 0.42 "after"
2017-03-01 0.45 "night"
2017-03-02 0.69 "dawn"
2017-03-02 0.8 "morn"
2017-03-02 0.46 "after"
2017-03-02 0.45 "night"
2017-03-03 0.72 "dawn"
2017-03-03 0.79 "morn"
2017-03-03 0.43 "after"
2017-03-03 0.46 "night"
2017-03-04 0.71 "dawn"
2017-03-04 0.84 "morn"
2017-03-04 0.47 "after"
2017-03-04 0.44 "night"
2017-03-05 0.72 "dawn"
2017-03-05 0.85 "morn"
2017-03-05 0.51 "after"
2017-03-05 0.43 "night"
2017-03-06 0.67 "dawn"
2017-03-06 0.82 "morn"
2017-03-06 0.45 "after"
2017-03-06 0.37 "night"
2017-03-07 0.71 "dawn"
2017-03-07 0.9 "morn"
2017-03-07 0.54 "after"
2017-03-07 0.43 "night"
2017-03-08 0.69 "dawn"
2017-03-08 0.82 "morn"
2017-03-08 0.43 "after"
2017-03-08 0.38 "night"
2017-03-09 0.68 "dawn"
2017-03-09 0.88 "morn"
2017-03-09 0.45 "after"
2017-03-09 0.39 "night"
2017-03-10 0.58 "dawn"
2017-03-10 0.66 "morn"
2017-03-10 0.24 "after"
2017-03-10 0.25 "night"
2017-03-11 0.59 "dawn"
2017-03-11 0.83 "morn"
2017-03-11 0.41 "after"
2017-03-11 0.34 "night"
2017-03-12 0.55 "dawn"
2017-03-12 0.68 "morn"
2017-03-12 0.36 "after"
2017-03-12 0.31 "night"
2017-03-13 0.59 "dawn"
2017-03-13 0.88 "morn"
2017-03-13 0.48 "after"
2017-03-13 0.41 "night"
2017-03-14 0.67 "dawn"
2017-03-14 0.8 "morn"
2017-03-14 0.53 "after"
2017-03-14 0.38 "night"
2017-03-15 0.67 "dawn"
2017-03-15 0.81 "morn"
2017-03-15 0.44 "after"
2017-03-15 0.4 "night"
2017-03-16 0.65 "dawn"
2017-03-16 0.82 "morn"
2017-03-16 0.45 "after"
2017-03-16 0.42 "night"
2017-03-17 0.58 "dawn"
2017-03-17 0.85 "morn"
2017-03-17 0.49 "after"
2017-03-17 0.46 "night"
2017-03-18 0.64 "dawn"
2017-03-18 0.89 "morn"
2017-03-18 0.6 "after"
2017-03-18 0.51 "night"
2017-03-19 0.75 "dawn"
2017-03-19 0.81 "morn"
2017-03-19 0.71 "after"
2017-03-19 0.61 "night"
2017-03-20 0.69 "dawn"
2017-03-20 0.88 "morn"
2017-03-20 0.47 "after"
2017-03-20 0.43 "night"
2017-03-21 0.75 "dawn"
2017-03-21 0.81 "morn"
2017-03-21 0.58 "after"
2017-03-21 0.5 "night"
2017-03-22 0.71 "dawn"
2017-03-22 0.87 "morn"
2017-03-22 0.41 "after"
2017-03-22 0.34 "night"
2017-03-23 0.78 "dawn"
2017-03-23 0.85 "morn"
2017-03-23 0.62 "after"
2017-03-23 0.48 "night"
2017-03-24 0.58 "dawn"
2017-03-24 0.81 "morn"
2017-03-24 0.46 "after"
2017-03-24 0.4 "night"
2017-03-25 0.58 "dawn"
2017-03-25 0.89 "morn"
2017-03-25 0.47 "after"
2017-03-25 0.42 "night"
2017-03-26 0.67 "dawn"
2017-03-26 0.79 "morn"
2017-03-26 0.44 "after"
2017-03-26 0.4 "night"
2017-03-27 0.64 "dawn"
2017-03-27 0.79 "morn"
2017-03-27 0.49 "after"
2017-03-27 0.42 "night"
2017-03-28 0.68 "dawn"
2017-03-28 0.84 "morn"
2017-03-28 0.59 "after"
2017-03-28 0.45 "night"
2017-03-29 0.68 "dawn"
2017-03-29 0.83 "morn"
2017-03-29 0.53 "after"
2017-03-29 0.44 "night"
2017-03-30 0.66 "dawn"
2017-03-30 0.79 "morn"
2017-03-30 0.37 "after"
2017-03-30 0.38 "night"
2017-03-31 0.69 "dawn"
2017-03-31 0.87 "morn"
2017-03-31 0.47 "after"
2017-03-31 0.42 "night"
2017-04-01 0.62 "dawn"
2017-04-01 0.86 "morn"
2017-04-01 0.53 "after"
2017-04-01 0.46 "night"
2017-04-02 0.68 "dawn"
2017-04-02 0.75 "morn"
2017-04-02 0.45 "after"
2017-04-02 0.4 "night"
2017-04-03 0.61 "dawn"
2017-04-03 0.73 "morn"
2017-04-03 0.58 "after"
2017-04-03 0.47 "night"
2017-04-04 0.7 "dawn"
2017-04-04 0.76 "morn"
2017-04-04 0.53 "after"
2017-04-04 0.46 "night"
2017-04-05 0.71 "dawn"
2017-04-05 0.74 "morn"
2017-04-05 0.36 "after"
2017-04-05 0.33 "night"
2017-04-06 0.6 "dawn"
2017-04-06 0.79 "morn"
2017-04-06 0.48 "after"
2017-04-06 0.43 "night"
2017-04-07 0.72 "dawn"
2017-04-07 0.78 "morn"
2017-04-07 0.56 "after"
2017-04-07 0.45 "night"
2017-04-08 0.7 "dawn"
2017-04-08 0.75 "morn"
2017-04-08 0.38 "after"
2017-04-08 0.33 "night"
2017-04-09 0.6 "dawn"
2017-04-09 0.78 "morn"
2017-04-09 0.27 "after"
2017-04-09 0.24 "night"
2017-04-10 0.45 "dawn"
2017-04-10 0.6 "morn"
2017-04-10 0.26 "after"
2017-04-10 0.23 "night"
2017-04-11 0.44 "dawn"
2017-04-11 0.66 "morn"
2017-04-11 0.33 "after"
2017-04-11 0.27 "night"
2017-04-12 0.54 "dawn"
2017-04-12 0.75 "morn"
2017-04-12 0.39 "after"
2017-04-12 0.36 "night"
2017-04-13 0.67 "dawn"
2017-04-13 0.87 "morn"
2017-04-13 0.49 "after"
2017-04-13 0.38 "night"
2017-04-14 0.6 "dawn"
2017-04-14 0.84 "morn"
2017-04-14 0.43 "after"
2017-04-14 0.37 "night"
2017-04-15 0.68 "dawn"
2017-04-15 0.83 "morn"
2017-04-15 0.4 "after"
2017-04-15 0.36 "night"
2017-04-16 0.61 "dawn"
2017-04-16 0.81 "morn"
2017-04-16 0.59 "after"
2017-04-16 0.52 "night"
2017-04-17 0.71 "dawn"
2017-04-17 0.8 "morn"
2017-04-17 0.56 "after"
2017-04-17 0.47 "night"
2017-04-18 0.68 "dawn"
2017-04-18 0.69 "morn"
2017-04-18 0.45 "after"
2017-04-18 0.45 "night"
2017-04-19 0.63 "dawn"
2017-04-19 0.81 "morn"
2017-04-19 0.42 "after"
2017-04-19 0.4 "night"
2017-04-20 0.68 "dawn"
